City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
447,marsassoum,12.8275,-15.9806,23.99,95,97,2.14,SN,1726612846
448,brookings,44.3114,-96.7984,29.0,59,0,11.83,US,1726612847
449,arauca,7.0847,-70.7591,28.0,74,20,1.03,CO,1726612848
450,sechura,-5.5569,-80.8222,20.52,68,25,7.57,PE,1726612807
451,las cruces,32.3123,-106.7783,34.65,17,0,11.32,US,1726612596
452,nyrob,60.733,56.7202,11.43,96,93,0.81,RU,1726612851
453,balykshi,47.0667,51.8667,13.0,30,0,6.0,KZ,1726612853
454,tarawa,1.419,172.984,30.05,70,20,3.09,KI,1726612854
455,olyokminsk,60.3736,120.4264,3.24,95,100,5.11,RU,1726612855
456,tual,-5.6667,132.75,27.03,82,96,7.27,ID,1726612856
457,pago pago,-14.2781,-170.7025,28.55,74,20,2.57,AS,1726612851
458,ariquemes,-9.9133,-63.0408,32.58,30,45,1.23,BR,1726612858
459,calabozo,8.9242,-67.4293,26.39,88,42,1.53,VE,1726612859
460,beira,-19.8436,34.8389,23.05,94,20,2.06,MZ,1726612860
461,ballina,-28.8667,153.5667,18.39,65,1,2.22,AU,1726612861
462,kudahuvadhoo,2.6708,72.8944,28.81,75,81,6.53,MV,1726612862
463,homer,59.6425,-151.5483,10.98,83,100,2.06,US,1726612863
464,new plymouth,-39.0667,174.0833,9.62,100,83,6.56,NZ,1726612865
465,lospalos,-8.5186,127.0025,24.06,80,82,2.42,TL,1726612866
466,beloyarskiy,63.7119,66.6722,12.72,98,70,3.16,RU,1726612867
467,bolotnoye,55.6717,84.3981,3.2,81,81,3.08,RU,1726612868
468,visakhapatnam,17.69,83.2093,27.49,75,24,1.46,IN,1726612692
469,broken hill,-31.95,141.4333,16.51,21,0,6.56,AU,1726612871
470,pahrump,36.2083,-115.9839,26.08,20,0,1.34,US,1726612872
471,hanzhong,33.0728,107.0303,21.95,86,2,0.29,CN,1726612873
472,highfields,-27.4518,151.9463,14.64,79,0,2.52,AU,1726612875
473,sorong,-0.8833,131.25,26.92,83,100,2.66,ID,1726612877
474,onverwacht,5.5833,-55.1833,32.0,58,20,1.54,SR,1726612878
475,kodinsk,58.6881,99.1844,4.24,98,100,3.75,RU,1726612880
476,price,39.5994,-110.8107,18.95,20,75,9.5,US,1726612881
477,kolokani,13.5728,-8.0339,24.93,83,87,2.39,ML,1726612882
478,batticaloa,7.7102,81.6924,26.32,75,100,3.25,LK,1726612883
479,north branch,45.5113,-92.9802,29.51,55,27,0.89,US,1726612884
480,along,28.1667,94.7667,20.32,97,33,0.48,IN,1726612885
481,sicuani,-14.2694,-71.2261,15.41,33,40,3.22,PE,1726612886
482,port-vila,-17.7338,168.3219,22.78,64,20,6.17,VU,1726612887
483,puerto lempira,15.2667,-83.7667,29.08,89,40,0.0,HN,1726612889
484,mount isa,-20.7333,139.5,20.87,40,100,3.6,AU,1726612890
485,upington,-28.4478,21.2561,18.21,27,0,3.09,ZA,1726612891
486,galveston,29.3669,-94.9669,32.78,71,0,4.63,US,1726612892
487,yerofey pavlovich,53.9667,121.9667,2.15,87,6,0.91,RU,1726612894
488,qarauyl,48.9451,79.255,2.55,67,3,5.12,KZ,1726612895
489,peterhead,57.5058,-1.7981,12.86,93,67,3.67,GB,1726612896
490,chui,-33.6971,-53.4616,13.76,84,98,3.55,UY,1726612897
491,manta,-0.95,-80.7333,25.88,69,40,4.12,EC,1726612816
492,san antonio de pale,-1.4014,5.6325,24.35,83,100,6.24,GQ,1726612901
493,natal,-5.795,-35.2094,25.12,78,0,4.63,BR,1726612730
494,zaragoza,41.6561,-0.8773,17.79,53,0,4.63,ES,1726612903
495,lucapa,-8.4192,20.7447,23.17,53,45,0.73,AO,1726612904
496,wellington,-41.2866,174.7756,9.81,61,63,5.14,NZ,1726612905
497,the pas,53.8251,-101.2541,23.01,68,20,3.47,CA,1726612906
498,villa gesell,-37.2639,-56.973,13.33,78,100,5.27,AR,1726612860
499,wotho,10.1657,166.0102,28.4,75,56,2.77,MH,1726612908
500,levuka,50.1834,-105.4011,24.85,50,100,4.63,CA,1726612909
501,kenora,49.8167,-94.4337,19.54,100,100,5.14,CA,1726612839
502,kodiak,57.79,-152.4072,11.73,82,100,7.2,US,1726612912
503,marica,-22.9194,-42.8186,20.5,77,100,4.29,BR,1726612660
504,kovernino,57.1253,43.8142,13.34,73,59,1.11,RU,1726612914
505,loa janan,-0.583,117.095,24.5,86,100,1.29,ID,1726612915
506,usogorsk,63.4106,48.6872,12.4,54,79,2.01,RU,1726612770
507,santiago papasquiaro,25.046,-105.4208,27.89,40,61,1.14,MX,1726612917
508,kloulklubed,7.0419,134.2556,28.58,74,100,5.16,PW,1726612918
509,santa marta,11.2408,-74.199,31.03,70,75,5.14,CO,1726612919
510,sulak,43.2734,47.5146,20.83,63,100,7.28,RU,1726612920
511,tutoia,-2.7619,-42.2744,25.92,76,0,7.51,BR,1726612921
512,shumikha,55.2261,63.2961,6.33,68,0,3.02,RU,1726612922
